id;size;xpos;ypos;zpos;xsize;ysize;zsize;weightedx;weightedy;weightedz;minaxis;medaxis;majaxis;eccentricity;elongation;orientation;integratedintensty;sigma;seedIntensity;seedScale;minIntensityForeground;maxIntensityForeground;minIntensityBackground;maxIntensityBackground;volumeForeground;volumeBackground;foregroundIntensity;backgroundIntensity;fg/bg ratio;integratedGradientMag
1;1616;383;92;0;51;49;0;0;0;0;45.3876;53.0236;0;0.516995;1.16824;-2.98563;481.383;0;0.106383;5;0.159574;0.776596;0;0.808511;1616;17705;0.297884;0.0672627;4.42867;83.2297
2;4898;449;111;0;87;90;0;0;0;0;83.0735;91.3151;0;0.415167;1.09921;1.00653;1753.93;0;0.5;8;0.191489;0.829787;0;0.808511;4898;43063;0.358089;0.0427361;8.37908;273.964
3;1712;567;192;0;48;58;0;1.87211;0.644148;0;44.4156;52.3331;0;0.528859;1.17826;1.27265;613.213;0;0.553191;5;0.191489;1;0;0.946809;1712;17609;0.358183;0.0238832;14.9973;126.075
4;1860;455;256;0;75;74;0;0;0;0;50.9668;64.3772;0;0.610922;1.26312;1.94059;242.096;0;0.0212766;6;0.0744681;0.382979;0;1;1860;26029;0.130158;0.0383058;3.39786;48.2792
5;869;586;261;0;39;44;0;0;0;0;27.5435;43.7944;0;0.777463;1.59001;1.10759;307.989;0;0.43617;5;0.191489;0.946809;0;1;869;18452;0.354418;0.0534946;6.6253;55.5866
6;2139;337;275;0;75;75;0;0;0;0;52.1248;79.5919;0;0.755714;1.52695;1.27111;348.851;0;0.0531915;7;0.106383;0.5;0;0.361702;2139;35110;0.163091;0.0158451;10.2929;56.3907
7;2093;526;327;0;61;56;0;0.643292;0.366737;0;51.9294;65.7153;0;0.612827;1.26547;-2.56689;831.66;0;0.0744681;6;0.212766;1;0;0.946809;2093;25796;0.397351;0.0679152;5.85069;164.26
8;1914;910;355;0;74;80;0;0;0;0;57.5789;70.0809;0;0.570056;1.21713;2.52169;226.106;0;0.191489;7;0.0744681;0.329787;0;0.297872;1914;35335;0.118132;0.0109666;10.772;44.8671
9;3117;587;358;0;70;71;0;0;0;0;63.2392;70.2963;0;0.436694;1.11159;1.8604;1077.72;0;0.212766;7;0.191489;0.882979;0;1;3117;34132;0.345755;0.0505193;6.84401;170.077
10;2512;759;377;0;87;83;0;0;0;0;63.8787;72.6404;0;0.476115;1.13716;0.991306;334.277;0;0.191489;7;0.0744681;0.43617;0;0.382979;2512;34737;0.133071;0.0152275;8.73888;58.9449
11;2272;233;403;0;69;52;0;0;0;0;52.6743;68.188;0;0.635032;1.29452;-3.12724;590.564;0;0.297872;6;0.138298;0.606383;0;0.468085;2272;25617;0.259931;0.0185575;14.0068;113.054
12;2087;664;422;0;84;80;0;0;0;0;63.5983;66.6352;0;0.298447;1.04775;-3.03453;253.128;0;0.0212766;7;0.0744681;0.382979;0;0.882979;2087;35162;0.121287;0.0422138;2.87316;45.1213
13;2481;429;430;0;80;82;0;0;0;0;67.0089;71.8422;0;0.360594;1.07213;2.63124;311.383;0;0.0212766;7;0.0744681;0.361702;0;0.776596;2481;34768;0.125506;0.018873;6.65005;49.3155
14;2001;143;476;0;67;58;0;0;0;0;53.7721;66.9067;0;0.595051;1.24426;2.90696;354.489;0;0.244681;6;0.106383;0.606383;0;0.606383;2001;25888;0.177157;0.0168133;10.5367;66.5081
15;1955;518;541;0;81;88;0;0;0;0;63.0829;67.6154;0;0.359963;1.07185;2.30081;224.383;0;0.138298;7;0.0744681;0.297872;0;0.638298;1955;35294;0.114773;0.0151888;7.55641;39.3952
16;2514;714;561;0;71;62;0;0;0;0;60.2266;61.8635;0;0.228517;1.02718;-2.59221;493.628;0;0.106383;6;0.106383;0.553191;0;0.159574;2514;25375;0.196353;0.0108045;18.1732;94.7251
17;3226;400;647;0;87;71;0;0;0;0;70.0441;73.4558;0;0.301224;1.04871;-2.43466;626.34;0;0.159574;8;0.106383;0.691489;0;0.659574;3226;44735;0.194154;0.0250713;7.74408;117.559
18;2095;99;665;0;73;67;0;0;0;0;54.6229;64.8678;0;0.539376;1.18756;-2.88737;285.989;0;0.0531915;6;0.0744681;0.382979;0;0.191489;2095;25794;0.13651;0.0113251;12.0537;49.4646
19;2589;221;666;0;69;66;0;0;0;0;61.4256;71.4163;0;0.510116;1.16265;-2.54617;591.34;0;0;7;0.138298;0.638298;0;0.297872;2589;34660;0.228404;0.0151406;15.0856;101.148
20;1725;855;706;0;66;66;0;0;0;0;52.8369;69.0808;0;0.6442;1.30743;0.920124;202.085;0;0.0744681;6;0.0744681;0.329787;0;0.138298;1725;26164;0.11715;0.00982168;11.9277;35.2054
21;2112;682;709;0;67;67;0;0;0;0;57.6187;64.0775;0;0.437532;1.1121;3.06695;280.543;0;0.0744681;6;0.0744681;0.414894;0;0.138298;2112;25777;0.132832;0.0105085;12.6404;55.1554
22;1981;445;740;0;69;47;0;0;0;0;42.6934;69.0788;0;0.786147;1.61802;2.77904;515.521;0;0.138298;6;0.138298;0.659574;0;0.691489;1981;25908;0.260232;0.0240168;10.8354;97.2217
23;4042;773;886;0;84;80;0;0;0;0;78.1056;89.4048;0;0.486613;1.14467;-2.52851;940.362;0;0.138298;8;0.138298;0.606383;0;0.138298;4042;43919;0.232646;0.010022;23.2135;155.086
