id;size;xpos;ypos;zpos;xsize;ysize;zsize;weightedx;weightedy;weightedz;minaxis;medaxis;majaxis;eccentricity;elongation;orientation;integratedintensty;sigma;seedIntensity;seedScale;minIntensityForeground;maxIntensityForeground;minIntensityBackground;maxIntensityBackground;volumeForeground;volumeBackground;foregroundIntensity;backgroundIntensity;fg/bg ratio;integratedGradientMag
1;208;1095;12;0;10;26;0;0;0;0;10.5589;26.4871;0;0.917107;2.50852;1.5378;88.7985;0;0.499789;5;0.228256;0.572337;0.0199403;0.224862;208;5559;0.426916;0.0355944;11.9939;16.2146
2;1396;685;25;0;47;49;0;0;0;0;33.0512;58.9873;0;0.828282;1.78472;2.20468;335.61;0;0.307595;5;0.133644;0.335596;0.0203646;0.142554;1396;11948;0.240409;0.0369001;6.51513;45.363
3;687;189;29;0;30;49;0;0;0;0;25.6755;49.13;0;0.852576;1.9135;1.25498;109.105;0;0.215528;5;0.0890966;0.22868;0.0131521;0.271531;687;13074;0.158813;0.0381509;4.16276;17.2338
4;583;417;148;0;31;25;0;0;0;0;23.2853;32.1175;0;0.688744;1.3793;-2.7985;164.595;0;0.354688;5;0.154857;0.413238;0.0182433;1;583;18738;0.282324;0.073449;3.84381;29.3895
5;650;507;147;0;25;36;0;0;0;0;22.1318;37.5467;0;0.807806;1.6965;1.1896;427.745;0;0.834961;5;0.344081;0.901145;0.019516;1;650;18671;0.658069;0.0626625;10.5018;57.3762
6;485;794;165;0;26;22;0;0;0;0;22.8234;27.33;0;0.550091;1.19746;2.9653;152.244;0;0.370386;5;0.170131;0.461179;0.019516;0.62622;485;18836;0.313905;0.0589568;5.32432;28.9155
7;703;468;173;0;25;35;0;1.05947;0.401005;0;24.0536;37.7119;0;0.770181;1.56783;1.38488;438.897;0;0.777259;5;0.331778;1;0.0182433;0.901145;703;18618;0.62432;0.0714328;8.73997;58.9782
8;613;384;182;0;31;25;0;0;0;0;24.3121;32.2339;0;0.656601;1.32584;-2.78228;169.623;0;0.352567;5;0.149766;0.431481;0.0156977;0.413238;613;18708;0.276709;0.0464432;5.95801;30.9863
9;628;950;184;0;30;29;0;0;0;0;23.6926;33.9736;0;0.716698;1.43393;2.41345;251.076;0;0.456512;5;0.215104;0.535851;0.0182433;0.725924;628;18693;0.399802;0.0529494;7.55065;41.4619
10;545;791;204;0;40;52;0;0;0;0;32.4438;45.577;0;0.702336;1.4048;0.895652;178.674;0;0.419177;5;0.17692;0.565125;0.0186675;0.62622;545;18776;0.327843;0.056293;5.82386;35.0798
11;509;854;207;0;23;33;0;0;0;0;18.753;35.2771;0;0.847;1.88114;1.92118;157.743;0;0.344506;5;0.167161;0.472634;0.019516;0.62622;509;18812;0.309908;0.0595203;5.20676;18.7739
12;572;808;217;0;44;41;0;0;0;0;21.4867;62.7155;0;0.939479;2.91881;-2.50632;225.826;0;0.506153;5;0.209164;0.62622;0.0173947;0.495969;572;18749;0.394802;0.0569778;6.92905;30.8641
13;533;981;239;0;26;28;0;0;0;0;22.3735;30.8715;0;0.689031;1.37982;2.07709;260.453;0;0.647858;5;0.259227;0.725924;0.0182433;0.535851;533;18788;0.488655;0.0528993;9.23746;39.2315
14;411;293;319;0;21;27;0;0;0;0;18.9331;27.8822;0;0.734103;1.47267;2.01182;111.946;0;0.386507;5;0.143826;0.405601;0.0089095;0.516759;411;18910;0.272374;0.0504755;5.39616;16.1993
15;973;241;327;0;39;52;0;0;0;0;29.0223;56.5495;0;0.858257;1.94848;2.16943;312.689;0;0.414935;5;0.169706;0.516759;0.0089095;0.405601;973;18348;0.321365;0.0387209;8.29954;37.5896
16;812;1057;386;0;45;34;0;0;0;0;22.4153;53.208;0;0.906932;2.37374;-2.44211;287.234;0;0.461603;5;0.1888;0.60543;0.0135764;0.470089;812;15451;0.353736;0.0538509;6.5688;67.3946
17;516;1011;412;0;40;32;0;0;0;0;22.841;41.7219;0;0.836833;1.82662;-2.55915;168.358;0;0.376749;5;0.174799;0.470089;0.0148492;0.60543;516;18805;0.326275;0.0549316;5.93967;23.5883
18;512;543;420;0;28;25;0;0;0;0;22.4817;29.2891;0;0.640953;1.3028;-2.55506;97.1128;0;0.212983;5;0.105219;0.272379;0.0156977;0.291049;512;18809;0.189673;0.0470519;4.03115;16.732
19;350;96;423;0;36;30;0;0;0;0;18.1848;34.7297;0;0.851959;1.90983;-2.44512;112.121;0;0.440815;5;0.168009;0.505728;0.00848524;0.581247;350;18971;0.320345;0.0455333;7.03541;17.9283
20;572;1036;419;0;56;38;0;0;0;0;29.0146;56.5557;0;0.858373;1.94922;-3.09041;179.722;0;0.402631;5;0.167585;0.44633;0.0135764;0.60543;572;17498;0.3142;0.0564343;5.56753;33.5479
21;863;493;442;0;39;45;0;0;0;0;29.5946;56.6909;0;0.852924;1.91558;1.99482;157.571;0;0.224862;5;0.0984304;0.264318;0.0118793;0.291049;863;18458;0.182585;0.0438704;4.16191;28.1651
22;794;369;445;0;47;37;0;0;0;0;34.0284;56.6637;0;0.7996;1.66519;3.05076;238.36;0;0.352567;5;0.159524;0.419602;0.0114551;0.416632;794;18527;0.300201;0.0344082;8.72469;25.7063
23;426;120;443;0;39;38;0;0;0;0;18.9485;51.21;0;0.929025;2.70259;-2.43287;148.634;0;0.463301;5;0.184133;0.492999;0.0106065;0.581247;426;18895;0.348906;0.0542872;6.42703;19.6653
24;692;356;446;0;43;38;0;0;0;0;28.5504;55.7463;0;0.858897;1.95256;2.71436;204.313;0;0.389902;5;0.154433;0.416632;0.00933376;0.419602;692;18629;0.295251;0.0354452;8.32978;22.8828
25;295;66;453;0;20;38;0;0;0;0;17.5001;28.637;0;0.791551;1.63638;1.91029;104.594;0;0.372083;5;0.184557;0.581247;0.0089095;0.509547;295;18053;0.354556;0.0648659;5.46598;19.9549
