id;size;xpos;ypos;zpos;xsize;ysize;zsize;weightedx;weightedy;weightedz;minaxis;medaxis;majaxis;eccentricity;elongation;orientation;integratedintensty;sigma;seedIntensity;seedScale;minIntensityForeground;maxIntensityForeground;minIntensityBackground;maxIntensityBackground;volumeForeground;volumeBackground;foregroundIntensity;backgroundIntensity;fg/bg ratio;integratedGradientMag
1;6857;450;200;4;61;62;8;0;0;0;5.81985;40.2368;60.5746;0.995374;10.4083;2.11514;2843.52;0;0.877637;5;0.21097;0.987342;0;1;6857;263637;0.414689;0.184192;2.25139;526.099
2;5498;520;219;5;64;56;9;0;0;0;5.37446;42.8851;45.8237;0.993098;8.5262;0.97286;2208.45;0;0.953587;5;0.206751;0.970464;0;1;5498;264996;0.401682;0.195072;2.05915;420.805
3;6532;354;279;4;63;61;9;0;0;0;5.19888;45.7623;51.1564;0.994823;9.83989;1.78473;2439.54;0;0.485232;5;0.194093;0.957806;0.00843882;1;6532;263962;0.373475;0.124865;2.99102;455.298
4;5184;176;281;4;60;64;9;0;0;0;5.63738;40.9781;45.3675;0.99225;8.04762;1.51149;1807.41;0;0.341772;5;0.181435;0.936709;0.00421941;0.995781;5184;265310;0.348651;0.122842;2.8382;355.43
5;6431;251;295;5;59;63;8;0;0;0;5.4705;42.933;56.2064;0.995252;10.2745;2.70535;2507.96;0;0.50211;5;0.202532;0.966245;0.00843882;0.978903;6431;264063;0.389979;0.117608;3.31591;448.843
6;6823;455;137;6;63;61;9;0;0;0;6.04178;44.2413;48.7365;0.992286;8.06658;0.470186;2590.05;0;0.523207;5;0.194093;0.978903;0;1;6823;282992;0.379607;0.168532;2.25244;502.934
7;5576;496;153;5;63;61;9;0;0;0;5.98133;36.1926;50.6833;0.993012;8.47359;0.412168;2312.82;0;0.535865;5;0.21097;0.978903;0;1;5576;284239;0.414781;0.195628;2.12026;443.711
8;4783;389;166;6;55;62;9;0;0;0;6.45025;33.9753;51.0199;0.991976;7.90976;2.39134;1907.29;0;0.362869;5;0.202532;0.987342;0;1;4783;285032;0.398764;0.165151;2.41454;372.542
9;5300;176;214;6;60;59;9;0;0;0;6.28392;40.7933;48.9181;0.991715;7.78464;0.65582;2030.68;0;0.443038;5;0.198312;0.983122;0.00421941;0.991561;5300;284515;0.383148;0.128254;2.98741;438.035
10;7872;439;220;6;61;63;10;0;0;0;7.84149;39.4472;50.4765;0.98786;6.43711;2.27343;3597.66;0;0.649789;5;0.232068;0.987342;0;1;7872;281943;0.45702;0.171638;2.66271;615.347
11;4691;220;233;5;61;55;9;0;0;0;5.84163;37.5021;42.6757;0.990587;7.30545;0.553344;1764.11;0;0.303797;5;0.194093;0.902954;0.00421941;0.991561;4691;285124;0.376063;0.123183;3.05288;354.705
12;5777;292;233;5;61;60;9;0;0;0;6.46807;41.107;44.9886;0.989611;6.9555;3.07548;2107.35;0;0.890295;5;0.185654;0.915612;0;0.987342;5777;284038;0.364782;0.109293;3.33764;395.364
13;5935;346;305;5;56;64;9;0;0;0;5.6096;38.5369;58.2707;0.995355;10.3877;1.79729;2300.92;0;0.721519;5;0.202532;0.966245;0.00843882;1;5935;283880;0.387688;0.12097;3.20483;422.796
14;4081;413;329;5;56;53;8;0;0;0;5.60891;32.1746;40.1466;0.990192;7.15766;0.808882;1905.76;0;0.400844;5;0.240506;0.995781;0.00843882;1;4081;285734;0.466983;0.133873;3.48824;383.371
15;5661;316;361;5;60;57;9;0;0;0;5.79004;40.1189;49.884;0.993241;8.61549;0.378785;2094.76;0;0.578059;5;0.194093;0.924051;0.00843882;1;5661;284154;0.370034;0.128037;2.89006;387.651
16;5944;340;371;5;64;56;9;0;0;0;5.51268;37.9887;59.5978;0.995713;10.811;0.430996;2324.6;0;0.873418;5;0.202532;0.962025;0.00843882;1;5944;283871;0.391085;0.1226;3.18992;439.007
17;5752;330;151;6;59;61;9;0;0;0;6.59166;39.9193;53.9551;0.992509;8.18537;2.541;1988.03;0;0.413502;5;0.177215;0.949367;0;1;5752;303384;0.345624;0.132955;2.59955;365.006
18;5476;300;169;6;63;57;9;0;0;0;5.92922;38.6043;49.8629;0.992905;8.40968;2.54975;1805.03;0;0.535865;5;0.168776;0.907173;0;1;5476;303660;0.329626;0.133158;2.47546;346.265
19;5490;231;176;6;60;61;9;0;0;0;6.19944;38.1962;54.0479;0.9934;8.71819;2.16022;2015.27;0;0.565401;5;0.189873;0.987342;0.00421941;1;5490;303646;0.36708;0.127723;2.87404;379.618
20;10436;393;238;6;63;59;10;0.348918;0.20736;0.00692642;8.25957;41.1614;58.0199;0.989815;7.02456;0.476025;4619.99;0;0.827004;5;0.223629;1;0;1;10436;298700;0.442699;0.138914;3.18686;757.773
21;6781;231;310;6;62;59;9;0;0;0;7.03065;38.1017;48.8323;0.989581;6.94562;2.3644;2618.34;0;0.751055;5;0.198312;0.966245;0.00421941;1;6781;302355;0.38613;0.121471;3.17879;471.857
22;5651;486;322;7;54;57;9;0.738764;0.491759;0.0105109;6.35104;35.1708;42.9224;0.988993;6.75832;2.29577;2663.91;0;0.57384;5;0.244726;1;0.0126582;1;5651;303485;0.471405;0.188744;2.49759;483.701
23;5758;260;367;7;58;62;9;0;0;0;6.37332;38.0336;41.8571;0.98834;6.56754;1.93165;2412.86;0;0.586498;5;0.21519;0.962025;0.00421941;1;5758;303378;0.419046;0.122409;3.42333;426.694
24;5014;415;371;6;60;60;9;0;0;0;6.05675;38.0836;47.7626;0.991927;7.88585;1.41378;1942.79;0;0.556962;5;0.202532;0.966245;0.00843882;1;5014;304122;0.387473;0.149915;2.58461;373.268
25;3683;204;372;6;60;60;9;0;0;0;6.61753;32.3294;41.8023;0.98739;6.3169;2.68771;1380.77;0;0.489451;5;0.189873;0.995781;0.00421941;1;3683;305453;0.374902;0.105231;3.56268;277.657
26;8299;485;372;6;63;60;9;0.494192;0.372629;0.00694648;6.79872;40.0339;58.0839;0.993126;8.54336;0.198329;4030.82;0;0.742616;5;0.248945;1;0.00421941;1;8299;300837;0.4857;0.168263;2.88656;732.962
27;5899;369;120;8;61;58;9;1.01279;0.341816;0.0210997;6.29635;36.7623;52.4508;0.992769;8.33035;0.396858;2843.64;0;0.869198;5;0.244726;1;0;1;5899;322558;0.482054;0.123289;3.90994;542.989
28;5311;540;127;7;56;52;9;3.13351;0.705939;0.0403394;6.37955;34.5346;41.7837;0.988276;6.54963;0.8022;2776.44;0;0.852321;5;0.265823;1;0;1;5311;323146;0.522772;0.147329;3.54833;533.642
29;6229;410;145;7;63;61;9;0;0;0;6.52501;42.9688;48.8149;0.991026;7.48119;0.0506136;2487.97;0;0.805907;5;0.202532;0.987342;0;1;6229;322228;0.399418;0.171155;2.33367;484.153
30;4384;150;195;7;55;57;8;0;0;0;5.77525;36.3757;41.1337;0.990095;7.12241;0.516995;2026.54;0;0.759494;5;0.236287;0.991561;0.00421941;1;4384;324073;0.462257;0.107646;4.29423;412.413
31;5620;574;241;8;59;59;9;0;0;0;5.8365;40.6181;51.7715;0.993625;8.87029;1.40814;2620.03;0;0.85654;5;0.236287;0.995781;0;1;5620;322837;0.466197;0.190606;2.44586;503.939
32;10125;499;264;7;61;56;10;1.90359;0.967682;0.0317757;8.83112;40.6221;51.1523;0.984984;5.79227;2.97447;5412.94;0;0.827004;5;0.270042;1;0;1;10125;318332;0.534611;0.185037;2.88922;905.822
