id;size;xpos;ypos;zpos;xsize;ysize;zsize;weightedx;weightedy;weightedz;minaxis;medaxis;majaxis;eccentricity;elongation;orientation;integratedintensty;sigma;seedIntensity;seedScale;minIntensityForeground;maxIntensityForeground;minIntensityBackground;maxIntensityBackground;volumeForeground;volumeBackground;foregroundIntensity;backgroundIntensity;fg/bg ratio;integratedGradientMag
1;313;130;2;1;44;8;3;0;0;0;2.66079;7.59073;29.3995;0.995896;11.0492;0.0270952;58.2988;0;0.322709;5;0.0956175;0.370518;0;0.286853;313;47642;0.186258;0.0142919;13.0324;22.8911
2;16513;212;60;2;72;90;5;0;0;0;5.55588;56.0923;84.0287;0.997812;15.1243;1.24791;1749.29;0;0.123506;7;0.0557769;0.314741;0;0.888446;16513;134027;0.105933;0.0233383;4.53902;271.055
3;9615;25;104;1;61;94;5;0;0;0;3.16943;55.5108;93.9067;0.99943;29.6289;1.84583;1772.19;0;0.135458;8;0.0956175;0.442231;0;0.792829;9615;126465;0.184314;0.0127639;14.4402;338.508
4;4971;145;159;0;72;68;3;0;0;0;2.30942;56.7041;67.6833;0.999418;29.3075;0.212535;1494.72;0;0.824701;6;0.155378;0.996016;0;0.924303;4971;134474;0.300687;0.0182718;16.4564;375.083
5;6750;290;158;0;66;78;5;0;0;0;2.56908;56.6003;76.5936;0.999437;29.8137;1.40011;1707.7;0;0.394422;6;0.12749;0.537849;0;0.505976;6750;132695;0.252993;0.0155676;16.2513;330.17
6;11669;413;267;1;76;90;4;5.12874;3.30872;0.00653742;3.45952;67.9515;84.5357;0.999162;24.4357;1.64022;3824.14;0;0.278884;7;0.167331;1;0;0.996016;11669;174576;0.327717;0.0140801;23.2752;915.554
7;3637;247;294;1;57;53;3;0.225847;0.274177;0;2.58754;49.3953;55.8624;0.998927;21.589;2.22817;1075.95;0;0.557769;5;0.151394;1;0;0.98008;3637;92968;0.295833;0.0302452;9.78115;247.683
8;5625;256;323;0;69;67;4;0.142106;0.172515;0;2.58564;59.0197;65.6644;0.999224;25.3958;0.94436;1710;0;0.322709;6;0.155378;1;0;0.976096;5625;133820;0.303999;0.0198463;15.3177;399.656
9;8531;152;372;1;73;90;4;0;0;0;2.77213;59.3401;91.4709;0.999541;32.9966;1.88493;1973.83;0;0.215139;7;0.119522;0.800797;0;1;8531;155519;0.231371;0.0210208;11.0068;436.213
10;24087;43;270;2;91;93;5;0;0;0;5.72664;80.7614;81.8174;0.997548;14.2872;2.4846;2221.16;0;0.143426;8;0.0478088;0.354582;0;0.996016;24087;139068;0.0922121;0.0157702;5.84723;333.33
