id;size;xpos;ypos;zpos;xsize;ysize;zsize;weightedx;weightedy;weightedz;minaxis;medaxis;majaxis;eccentricity;elongation;orientation;integratedintensty;sigma;seedIntensity;seedScale;minIntensityForeground;maxIntensityForeground;minIntensityBackground;maxIntensityBackground;volumeForeground;volumeBackground;foregroundIntensity;backgroundIntensity;fg/bg ratio;integratedGradientMag
1;12161;329;213;16;57;59;10;0;0;0;9.69948;40.2921;46.6974;0.970592;4.15405;1.9598;1594.7;0;0.263858;5;0.0709534;0.301552;0.00665188;0.334812;12161;393580;0.131133;0.0601707;2.17935;248.162
2;12517;184;227;17;62;61;9;0;0;0;9.60675;40.3785;47.4912;0.971285;4.20314;0.805421;1629.27;0;0.235033;5;0.0687361;0.317073;0.00221729;0.290466;12517;393224;0.130165;0.0574999;2.26375;254.601
3;11552;354;269;18;56;59;10;0;0;0;9.78815;37.4392;45.7884;0.965219;3.82495;2.32883;1637.2;0;0.195122;5;0.0776053;0.334812;0.0110865;0.354767;11552;394189;0.141725;0.0631856;2.243;240.941
4;19065;246;179;21;66;66;10;0;0;0;9.00733;53.9037;56.0535;0.98594;5.98443;2.09638;1832.32;0;0.124169;5;0.0532151;0.272727;0.00665188;0.317073;19065;386676;0.0961093;0.0610633;1.57393;192.32
5;12498;521;254;24;48;45;9;0;0;0;9.87226;41.2374;44.3019;0.970921;4.1771;1.62887;2999.17;0;0.155211;5;0.126386;0.713969;0.00886918;0.636364;12498;393243;0.239971;0.0590627;4.06299;513.805
6;10140;393;99;25;47;51;11;0.169241;0.0421993;0.0106609;9.62872;33.4882;47.5009;0.957773;3.47795;2.14617;2251.22;0;0.354767;5;0.117517;1;0.00665188;0.62306;10140;395601;0.222014;0.0642166;3.45727;447.484
7;13817;445;215;26;56;57;10;0;0;0;9.3406;42.3856;51.2204;0.975416;4.53778;2.82991;2142.52;0;0.365854;5;0.0820399;0.443459;0.00443459;0.609756;13817;391924;0.155064;0.0652089;2.37796;331.163
8;13160;416;270;29;57;57;10;0;0;0;9.73246;37.5065;51.9804;0.965747;3.85375;2.55809;1837.86;0;0.177384;5;0.075388;0.303769;0.00886918;0.549889;13160;392581;0.139656;0.0697849;2.00124;248.765
9;10576;366;189;31;52;55;11;0;0;0;9.74285;35.2337;47.3746;0.961008;3.61637;1.1721;1615.41;0;0.206208;5;0.0820399;0.485588;0.00443459;0.43459;10576;395165;0.152744;0.0713841;2.13975;302.851
10;19652;100;253;31;65;64;10;0;0;0;9.08502;54.3798;56.1335;0.985946;5.98565;2.92408;2097.04;0;0.157428;5;0.059867;0.226164;0.00886918;0.32816;19652;386089;0.10671;0.0591108;1.80525;204.503
11;19989;128;317;31;65;65;11;0;0;0;8.962;53.8022;58.9796;0.986029;6.00337;0.740085;1858.62;0;0.117517;5;0.0487805;0.159645;0.00221729;0.259423;19989;277749;0.0929838;0.0634371;1.46577;161.709
12;13213;456;128;32;51;56;11;0;0;0;9.37035;43.8797;47.9149;0.976933;4.68283;0.561128;3034.4;0;0.359202;5;0.119734;0.556541;0.00443459;1;13213;392528;0.229653;0.0689291;3.33173;490.54
13;17893;174;157;34;66;65;11;0;0;0;9.14889;48.8675;58.1418;0.982318;5.34136;1.68962;1673.3;0;0.110865;5;0.0532151;0.197339;0.00886918;0.35255;17893;387848;0.0935178;0.0643592;1.45306;187.164
14;20873;304;174;34;63;66;11;0;0;0;8.97241;54.2363;59.9474;0.986221;6.04479;0.482291;2076.04;0;0.121951;5;0.0532151;0.195122;0.00443459;0.292683;20873;384868;0.0994615;0.0693303;1.4346;153.25
15;17965;117;174;34;64;66;10;0;0;0;9.15858;51.6036;54.237;0.984124;5.63445;0.898024;1935;0;0.144124;5;0.0620843;0.32816;0.0110865;0.286031;17965;387776;0.107711;0.0589446;1.82732;229.23
16;13622;292;300;34;62;60;11;0;0;0;9.7473;39.8986;51.2058;0.969699;4.0933;-1.18626;1759.12;0;0.192905;5;0.0687361;0.268293;0.00443459;0.337029;13622;333739;0.129138;0.074082;1.74318;219.327
17;18294;400;322;34;64;58;11;0;0;0;9.15041;51.32;55.6968;0.983976;5.60849;-1.12988;1763.64;0;0.148559;5;0.0509978;0.230599;0.00443459;0.337029;18294;261930;0.096407;0.0714317;1.34964;202.454
18;15047;342;317;35;62;62;10;0;0;0;9.35248;44.2488;54.6307;0.977408;4.73124;-0.158185;1669.87;0;0.148559;5;0.059867;0.283814;0.00443459;0.337029;15047;273934;0.110978;0.075045;1.47881;182.048
19;18640;571;27;38;66;57;10;0;0;0;9.02313;50.8576;58.0235;0.984135;5.63636;1.5516;1873.93;0;0.16408;5;0.0554324;0.274945;0.00886918;0.230599;18640;249908;0.100534;0.0592863;1.69573;203.762
20;16577;503;19;39;64;49;10;0;0;0;9.34526;44.5035;57.7695;0.977704;4.76215;-1.64456;1669.15;0;0.10643;5;0.0554324;0.230599;0.00665188;0.274945;16577;234457;0.100691;0.0581703;1.73097;172.393
21;15905;442;210;39;59;60;10;0;0;0;9.26311;47.5847;52.3392;0.98087;5.13701;-0.432228;2460.69;0;0.252772;5;0.0820399;0.59867;0.00665188;0.689579;15905;389836;0.154712;0.0658394;2.34984;398.163
22;15611;209;110;40;65;65;11;0;0;0;9.19916;46.4413;53.4365;0.980186;5.04843;0.650807;1821.09;0;0.215078;5;0.0643016;0.35255;0.00886918;0.281596;15611;390130;0.116655;0.0599916;1.94453;210.791
23;14946;237;316;40;62;61;11;0;0;0;9.36059;45.6878;50.8348;0.978787;4.88087;2.968;1742.1;0;0.186253;5;0.0665189;0.266075;0.0110865;0.321508;14946;274035;0.11656;0.0679021;1.71659;195.29
24;17431;401;319;41;64;60;9;0;0;0;9.26915;49.3483;54.6619;0.982201;5.32393;-0.97009;1822.77;0;0.101996;5;0.059867;0.24612;0.0110865;0.303769;17431;271550;0.104571;0.0662887;1.57751;192.71
25;14432;236;236;42;62;59;11;0;0;0;9.56789;45.5457;47.6809;0.977686;4.76027;-1.26142;1882.73;0;0.21286;5;0.0731707;0.321508;0.0110865;0.297118;14432;391309;0.130456;0.0680946;1.9158;230.37
26;14114;290;246;42;62;62;10;0;0;0;9.51991;40.5087;54.0595;0.971993;4.25516;2.19889;1646.15;0;0.126386;5;0.0643016;0.237251;0.00886918;0.321508;14114;391627;0.116634;0.0705262;1.65377;219.803
27;15640;178;264;44;61;63;10;0;0;0;9.53131;46.5614;50.5258;0.978824;4.8851;1.75414;1871.48;0;0.137472;5;0.0665189;0.297118;0.00886918;0.321508;15640;390101;0.11966;0.0645543;1.85364;247.818
28;19887;357;140;46;65;66;10;0;0;0;8.97966;54.8904;57.1315;0.986528;6.11275;0.116684;1769.05;0;0.101996;5;0.0487805;0.219512;0.00443459;0.323725;19887;385854;0.0889562;0.0598404;1.48656;168.122
29;19409;170;151;50;66;64;11;0;0;0;8.93905;53.1021;58.4639;0.98573;5.94047;1.66332;1557.86;0;0.115299;5;0.0465632;0.148559;0.0110865;0.341463;19409;367011;0.0802659;0.0585654;1.37053;152.906
