imgNumber,sum,cumSum
1,30,30
2,30,30
3,30,30
4,30,30
5,30,30
6,30,30
7,30,30
8,30,30
9,30,30
10,30,30
11,32,34
12,33,36
13,33,36
14,33,36
15,35,40
16,35,40
17,35,40
18,35,40
19,36,42
20,39,48
21,40,50
22,41,53
23,42,55
24,42,55
25,43,57
26,43,58
27,43,58
28,43,60
29,44,62
30,44,62
31,45,63
32,44,63
33,43,63
34,43,63
35,43,63
36,42,65
37,43,69
38,43,69
39,43,69
40,42,69
41,42,69
42,42,69
43,43,71
44,43,71
45,43,71
46,43,71
47,42,71
48,43,73
49,43,75
50,45,78
51,44,78
52,43,78
53,46,82
54,45,84
55,47,89
56,47,91
57,46,92
58,46,92
59,45,92
60,45,93
61,45,93
62,44,93
63,44,93
64,44,93
65,45,95
