cellId,activeCells,totalCells
0,23,23
1,23,23
2,23,23
3,23,23
4,23,23
5,23,23
6,23,23
7,23,23
8,23,23
9,23,23
10,23,23
11,23,23
12,23,23
13,23,23
14,23,23
15,23,23
16,23,23
17,23,24
18,23,24
19,23,24
20,23,24
21,24,25
22,24,25
23,24,25
24,24,25
25,24,25
26,24,25
27,24,25
28,24,25
29,24,25
30,24,25
31,24,25
32,24,25
33,24,25
34,24,25
35,24,25
36,24,25
37,24,25
38,24,25
39,24,25
40,24,25
41,24,25
42,24,25
43,24,25
44,24,25
45,24,25
46,24,25
47,25,27
48,24,27
49,24,27
50,23,27
51,23,27
52,21,27
53,21,27
54,21,27
55,21,27
56,21,27
57,21,27
58,21,27
59,21,27
60,21,27
61,21,27
62,21,27
63,21,27
64,21,27
65,21,27
66,21,27
67,21,27
68,21,27
69,21,27
70,21,27
71,21,27
72,21,27
73,21,27
74,21,27
75,21,27
76,21,27
77,21,27
78,20,27
79,20,27
80,20,27
81,20,27
82,20,27
83,20,27
84,20,27
85,20,27
86,20,27
87,20,27
88,20,27
89,20,27
90,20,27
91,20,27
