imageId,activeCells,totalCells
0,24,24
1,24,24
2,24,25
3,23,25
4,23,26
5,23,26
6,24,28
7,23,29
8,22,29
9,22,29
10,23,30
11,22,30
12,22,30
13,21,30
14,21,30
15,21,30
16,22,31
17,23,32
18,23,33
19,24,34
20,24,35
21,23,35
22,24,36
23,24,36
24,23,36
25,23,36
26,23,36
27,23,36
28,23,36
29,23,36
30,23,36
31,23,36
32,23,36
33,23,37
34,23,37
35,24,38
36,24,38
37,24,38
38,25,39
39,25,39
40,25,39
41,25,39
42,25,39
43,25,39
44,24,39
45,24,39
46,25,40
47,25,40
48,27,42
49,25,42
50,25,42
51,27,44
52,28,45
53,28,45
54,28,45
55,28,45
56,28,45
57,28,45
58,28,45
59,28,45
60,28,45
61,28,45
62,28,45
63,27,45
64,27,45
65,27,45
66,27,45
67,27,45
68,27,45
69,27,45
70,27,45
71,27,45
72,27,45
73,27,45
74,27,45
75,28,46
76,28,46
77,28,46
78,28,46
79,28,46
80,27,46
81,27,46
82,28,47
83,29,49
84,27,49
85,26,49
86,27,50
87,27,50
88,27,50
89,26,50
90,26,50
91,26,50
