imageId,activeCells,totalCells
0,30,30
1,30,30
2,30,30
3,30,30
4,30,30
5,30,30
6,30,30
7,30,30
8,30,30
9,30,30
10,32,34
11,33,36
12,33,36
13,33,36
14,35,40
15,35,40
16,35,40
17,35,40
18,36,42
19,39,48
20,40,50
21,41,53
22,42,55
23,42,55
24,43,57
25,43,58
26,43,58
27,43,60
28,44,62
29,44,62
30,45,63
31,44,63
32,43,63
33,43,63
34,43,63
35,42,65
36,43,69
37,43,69
38,43,69
39,42,69
40,42,69
41,42,69
42,43,71
43,43,71
44,43,71
45,43,71
46,42,71
47,43,73
48,43,75
49,45,78
50,44,78
51,43,78
52,46,82
53,45,84
54,47,89
55,47,91
56,46,92
57,46,92
58,45,92
59,45,93
60,45,93
61,44,93
62,44,93
63,44,93
64,45,95
