imgNumber,sum,cumSum
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,8,8
10,8,8
11,8,8
12,8,8
13,8,8
14,8,8
15,8,8
16,9,10
17,9,10
18,9,10
19,9,10
20,9,10
21,9,10
22,9,10
23,9,10
24,9,10
25,10,12
26,11,14
27,11,14
28,11,14
29,12,16
30,13,18
31,13,18
32,13,18
33,13,18
34,13,18
35,13,18
36,13,18
37,13,18
38,13,18
39,13,18
40,13,20
41,13,20
42,13,20
43,13,20
44,13,20
45,13,20
46,13,20
47,13,20
48,14,22
49,14,22
50,15,23
51,15,23
52,15,23
53,15,23
54,15,23
55,15,23
56,15,23
57,15,23
58,15,23
59,15,23
60,15,23
61,16,24
62,16,24
63,16,24
64,16,24
65,16,24
66,16,24
67,16,24
68,16,24
69,16,24
70,17,25
71,17,25
72,17,25
73,17,25
74,18,27
75,19,29
76,19,29
77,19,29
78,19,29
79,19,29
80,19,29
81,20,31
82,20,32
83,20,32
84,24,40
85,24,40
86,26,44
87,26,44
88,27,47
89,27,47
90,27,47
91,27,47
92,27,47
93,27,47
94,27,47
95,27,49
96,27,49
97,28,51
98,28,51
99,28,51
100,28,51
101,29,52
102,29,52
103,29,52
104,30,54
105,31,56
106,31,56
107,32,57
108,32,57
109,32,57
110,32,57
111,32,57
112,32,57
113,32,57
114,32,57
115,32,57
116,32,57
117,32,57
118,32,57
119,32,57
120,31,57
121,31,57
122,31,57
123,31,57
124,31,57
125,31,57
126,31,57
127,32,59
128,32,59
129,31,59
130,32,60
131,32,60
132,32,62
133,37,70
134,38,72
135,40,76
136,39,76
137,41,79
138,42,81
139,42,81
140,43,85
141,45,89
142,47,93
143,48,95
144,51,101
145,51,101
146,52,103
147,52,103
148,52,103
149,52,103
150,54,107
