imgNumber,sum,cumSum
1,43,43
2,43,43
3,43,45
4,46,49
5,47,53
6,47,55
7,48,57
8,49,59
9,51,63
10,52,65
11,54,67
12,57,73
13,57,73
14,60,79
15,61,83
16,62,89
17,63,91
18,65,93
19,64,95
20,64,95
21,64,95
22,66,98
23,67,100
24,70,105
25,70,105
26,69,106
27,70,108
28,71,109
29,71,109
30,72,111
31,71,111
32,73,115
33,73,115
34,74,117
35,76,120
36,76,121
37,78,125
38,76,125
39,82,136
40,83,138
41,86,144
42,89,150
43,93,157
44,96,164
45,97,166
46,99,172
47,100,174
48,100,176
49,102,180
50,106,187
51,109,192
52,110,194
53,113,200
54,113,202
55,113,202
56,114,204
57,115,208
58,116,210
59,117,212
60,117,212
61,116,212
62,117,216
63,117,216
64,117,217
65,119,219
66,121,222
67,121,222
68,121,224
69,121,224
70,121,224
71,122,226
72,122,226
73,122,226
74,122,226
75,122,226
76,123,227
77,125,231
78,124,233
79,126,236
80,126,236
81,128,240
82,127,240
83,129,244
84,130,246
85,130,246
86,132,250
87,134,253
88,134,253
89,134,253
90,133,255
91,133,255
92,137,265
