cellId,activeCells,totalCells
0,125,125
1,132,138
2,134,142
3,136,148
4,143,162
5,148,171
6,156,184
7,158,189
8,164,202
9,165,205
10,167,211
11,169,218
12,176,230
13,179,236
14,180,239
15,183,246
16,187,252
17,187,254
18,193,264
19,195,269
20,197,275
21,198,278
22,202,286
23,207,296
24,209,301
25,210,302
26,212,308
27,214,314
28,216,321
29,221,331
30,224,338
31,232,352
32,236,363
33,244,380
34,249,390
35,251,395
36,257,406
37,266,430
38,273,442
39,280,457
40,287,470
41,291,479
42,295,489
43,298,493
44,300,498
45,303,506
46,305,514
47,309,521
48,311,526
49,316,536
50,319,544
51,320,550
52,322,556
53,324,561
54,320,563
55,324,573
56,325,574
57,329,582
58,331,586
59,336,596
60,337,598
61,339,601
62,339,602
63,338,605
64,339,609
65,342,617
66,344,620
67,345,622
68,346,624
69,347,627
70,349,630
71,351,635
72,350,637
73,350,637
74,350,637
75,350,639
76,352,644
77,353,647
78,356,653
79,361,660
80,360,660
81,358,660
82,359,662
83,364,667
84,362,669
85,362,669
86,364,672
87,362,673
88,363,674
89,363,674
90,363,674
91,363,675
