cellId,activeCells,totalCells
0,2,2
1,2,2
2,2,2
3,3,4
4,4,6
5,4,6
6,4,6
7,4,6
8,4,6
9,4,6
10,4,6
11,4,6
12,4,6
13,4,6
14,5,8
15,6,10
16,7,12
17,7,12
18,8,14
19,8,14
20,8,14
21,8,14
22,8,14
23,8,14
24,8,14
25,8,14
26,8,14
27,10,18
28,12,22
29,13,24
30,14,26
31,14,26
32,15,28
33,15,28
34,15,28
35,15,28
36,15,28
37,15,28
38,16,30
39,16,30
40,16,30
41,17,32
42,21,40
43,24,46
44,24,46
45,24,46
46,24,46
47,26,50
48,26,50
49,26,50
50,27,52
51,28,54
52,28,54
53,28,54
54,28,54
55,28,54
56,28,54
57,28,54
58,28,54
59,28,54
60,28,54
61,28,54
62,31,60
63,37,72
64,39,76
65,41,80
66,43,84
67,45,88
68,48,94
69,49,96
70,50,98
71,51,100
72,51,100
73,51,100
74,51,100
75,51,100
76,52,102
77,52,102
78,54,106
79,54,106
80,54,106
81,55,108
82,55,108
83,55,108
84,55,108
85,55,108
86,55,108
87,56,110
88,60,118
89,65,128
90,74,146
91,83,164
92,86,170
93,90,178
94,91,180
95,91,180
96,95,188
97,96,190
98,96,190
99,96,190
100,97,192
101,99,196
102,99,196
103,99,196
104,99,196
105,99,196
106,100,198
107,100,198
108,101,200
109,101,200
110,103,204
111,104,206
112,104,206
113,105,208
114,105,208
115,105,208
116,108,214
117,110,218
118,113,224
119,118,234
120,126,250
121,134,266
122,141,280
123,146,290
124,151,300
125,158,314
126,164,326
127,171,340
128,174,346
129,175,348
130,176,350
131,177,352
132,179,356
133,180,358
134,182,362
135,182,362
136,183,364
137,185,368
138,185,368
139,185,368
140,185,368
141,184,368
142,184,370
143,185,372
144,186,374
145,186,374
146,187,376
147,187,376
148,188,378
149,189,380
150,190,382
151,193,388
152,196,394
153,201,404
154,205,412
155,211,424
156,218,438
157,223,448
158,230,462
159,238,478
160,246,494
161,253,508
162,269,540
163,274,550
164,284,572
165,293,590
166,301,606
167,309,622
168,314,632
169,317,638
170,321,646
171,324,652
172,331,666
173,338,680
174,340,684
175,347,698
176,349,702
177,351,706
178,351,706
179,351,706
180,351,706
181,353,710
182,353,710
183,354,712
184,355,714
185,357,718
186,358,720
187,359,722
188,359,722
189,360,724
190,0,724
191,0,724
192,0,724
193,0,724
194,0,724
195,0,724
196,0,724
197,0,724
198,0,724
199,0,724
200,0,724
201,0,724
202,0,724
203,0,724
204,0,724
205,0,724
206,0,724
207,0,724
208,0,724
209,0,724
210,0,724
211,0,724
212,0,724
213,0,724
214,0,724
215,0,724
216,0,724
217,0,724
218,0,724
219,0,724
220,0,724
221,0,724
222,0,724
223,0,724
224,0,724
225,0,724
226,0,724
227,0,724
228,0,724
229,0,724
230,0,724
231,0,724
232,0,724
233,0,724
234,0,724
235,0,724
236,0,724
237,0,724
238,0,724
239,0,724
240,0,724
241,0,724
242,0,724
243,0,724
244,0,724
245,0,724
246,0,724
247,0,724
248,0,724
249,0,724
