imgNumber,sum,cumSum
1,10,10
2,10,10
3,10,10
4,9,10
5,9,11
6,9,11
7,9,11
8,9,11
9,9,11
10,9,11
11,9,11
12,9,11
13,8,11
14,8,11
15,8,11
16,8,11
17,8,11
18,8,11
19,8,11
20,8,11
21,8,11
22,8,11
23,8,11
24,8,11
25,8,11
26,8,11
27,8,11
28,8,11
29,8,11
30,8,11
31,7,11
32,6,11
33,6,11
34,7,12
35,8,13
36,7,13
37,7,13
38,7,13
39,9,15
40,10,16
41,9,16
42,8,16
43,8,16
44,9,17
45,9,17
46,9,17
47,9,17
48,10,18
49,10,18
50,10,18
51,10,18
52,11,19
53,10,19
54,9,19
55,9,19
56,9,19
57,11,21
58,11,21
59,11,21
60,10,21
61,10,21
62,10,21
63,11,22
64,11,22
65,11,22
66,11,22
67,12,23
68,12,23
69,12,23
70,12,23
71,12,23
72,12,23
73,12,23
74,12,23
75,12,23
76,11,23
77,11,23
78,11,23
79,11,23
80,11,23
81,12,24
82,12,24
83,12,24
84,12,24
85,12,24
86,12,24
87,14,26
88,15,27
89,14,27
90,14,27
91,14,27
92,14,27
