cellId,activeCells,totalCells
0,4,4
1,4,4
2,4,4
3,4,4
4,5,5
5,4,5
6,5,6
7,5,6
8,5,6
9,4,6
10,5,7
11,4,7
12,4,7
13,4,7
14,4,7
15,4,7
16,4,7
17,5,8
18,5,8
19,5,8
20,4,8
21,5,9
22,4,9
23,3,9
24,3,9
25,3,9
26,5,12
27,5,12
28,5,12
29,5,12
30,5,12
31,5,12
32,5,12
33,5,12
34,5,12
35,5,12
36,4,13
37,4,13
38,4,13
39,4,13
40,6,15
41,6,15
42,6,15
43,8,17
44,7,17
45,7,17
46,8,18
47,8,18
48,6,18
49,7,19
50,7,19
51,7,19
52,8,20
53,8,20
54,8,20
55,8,20
56,8,20
57,8,20
58,8,20
59,8,20
60,8,20
61,8,20
62,8,20
63,8,20
64,8,20
65,8,20
66,8,20
67,8,20
68,8,20
69,8,20
70,8,21
71,8,21
72,8,21
73,8,21
74,8,21
75,10,23
76,10,23
77,10,23
78,10,23
79,10,23
80,10,23
81,10,23
82,10,23
83,10,23
84,10,23
85,10,23
86,10,23
87,10,23
88,10,23
89,10,23
90,10,23
91,11,24
