cellId,activeCells,totalCells
0,30,30
1,30,30
2,30,30
3,30,30
4,30,30
5,30,30
6,30,30
7,31,32
8,31,32
9,34,38
10,35,42
11,35,42
12,35,42
13,35,42
14,35,42
15,35,42
16,35,42
17,36,44
18,36,44
19,36,44
20,36,44
21,36,45
22,39,50
23,40,52
24,40,52
25,42,56
26,42,56
27,43,58
28,44,60
29,44,60
30,45,64
31,45,66
32,45,66
33,44,68
34,45,70
35,45,70
36,45,70
37,44,70
38,44,70
39,44,70
40,44,72
41,44,72
42,45,75
43,45,76
44,45,76
45,45,76
46,43,76
47,43,76
48,45,80
49,48,85
50,48,85
51,48,85
52,47,85
53,48,87
54,48,87
55,48,89
56,46,89
57,47,90
58,48,92
59,49,94
60,49,94
61,48,94
62,49,98
63,49,100
64,49,100
65,48,100
66,49,102
67,50,103
68,51,105
69,51,105
70,52,107
71,52,107
72,52,109
73,52,109
74,53,111
75,53,111
76,54,113
77,54,115
78,54,115
79,55,117
